nnid,nid,naks,enaks,daivata
1,N01-Ash,अश्विनी,Aśvayuk,Aśvini
2,N02-Bha,भरणी,Bharaṇī,Yama
3,N03-Kri,क्रित्तिका,Kṛttikā, Agni
4,N04-Roh,रोहिणी,Rohiṇī,Prajāpati
5,N05-Mrg,मृगशीर्ष,Mṛgaśira,Soma
6,N06-Ard,आर्द्रा,Ārdrā,Rudra
7,N07-Pun,पुनर्वसू,Punarvasu,Aditi
8,N08-Pus,पुष्य,Puṣya,Bṛhaspati
9,N09-Asl,आश्लेषा,Āśleṣā,Sarpa
10,N10-Mag,मघा,Maghā,Pitṛ
11,N11-PPal,पूर्वफल्गुनी,P Phalgunī,Bhaga
12,N12-UPal,उत्तरफल्गुनी,U Phalgunī,Aryaman
13,N13-Has,हस्त,Hasta,Savitṛ
14,N14-Chi,चित्रा,Citrā,Tvaṣṭṛ
15,N15-Swa,स्वाती,Svātī,Vāyu
16,N16-Vis,विशाखे,Viśākhā,Indrāgnī
17,N17-Anu,अनूराधा,Anūrādhā,Mitra
18,N18-Jye,ज्येष्ठा,Jyeṣṭhā,Indra
19,N19-Mul,मूल,Mūla, Nirṛti
20,N20-PAsh,पूर्वाषाढा,P Aṣāḍhā,Ap
21,N21-UAsh,उत्तराषाढा,U Aṣāḍhā,Viśvedevā
22,N22-Shr,श्रवण,Śravaṇa,Viṣṇu
23,N23-Dha,धनिष्ठा,Dhaniṣṭhā,Vasu
24,N24-Sha,शतभिषक्,Śatabhiṣak,Varuṇa
25,N25-PBha,पूर्वाभाद्रपदा,P Proṣṭapada,Aja
26,N26-UBha,उत्तराभाद्रपदा,U Proṣṭapada,Ahirbudhnya
27,N27-Rev,रेवती,Revatī,Pūṣan
